yr2010avg,yr2011avg,yr2012avg,yr2013avg,yr2014avg,yr2015avg,yr2016avg,yr2017avg,yr2018avg,yr2019avg,yr2020avg,yr2010min,yr2011min,yr2012min,yr2013min,yr2014min,yr2015min,yr2016min,yr2017min,yr2018min,yr2019min,yr2020min,yr2010max,yr2011max,yr2012max,yr2013max,yr2014max,yr2015max,yr2016max,yr2017max,yr2018max,yr2019max,yr2020max,monthdate,outliermin,outliermax
15.84791667,14.52833333,16.88125,16.95541667,18.47416667,17.25958333,22.76625,22.06291667,17.82625,29.48125,20.80541667,12.32,11.77,15.78,11.9,14.78,14.11,15.48,15.51,16.06,23.58,12.63,19.89,16.66,18.26,22.53,22.94,20,30.99,29.27,20.36,36.68,29.34,1-Mar,3.38,26.78
16.07083333,14.21,17.77083333,18.9925,17.68375,16.90333333,22.68083333,20.22791667,18.47083333,28.34833333,15.465,12.01,11.14,14.92,13.86,13.94,10.22,16.23,15.49,14.33,22.57,13.55,20.28,17.3,21.45,24.99,21.74,22.69,31.59,25.13,23.52,34.62,17.97,2-Mar,3.38,26.78
18.87583333,15.27333333,16.72333333,19.715,18.78708333,18.06166667,20.14875,21.39333333,20.19416667,27.53166667,15.725,14.19,13.29,15.67,12.44,13.29,14.27,16.93,17.65,13.34,19.53,13.76,24.61,17.53,18.34,26.45,24.93,21.48,24.16,26.47,30.36,34.14,18.82,3-Mar,3.38,26.78
22.43583333,13.86666667,20.11625,22.11041667,23.60041667,17.58083333,23.51333333,21.2875,17.19916667,20.89666667,16.97375,14.7,12.29,17.1,14.99,14.71,13,16.29,15.77,14.79,17.15,12.43,29.12,15.6,23.69,29.35,30.83,22.64,32.73,27.15,20.29,26.01,20.88,4-Mar,3.38,26.78
21.77375,15.46916667,16.82166667,23.22291667,19.24125,15.32666667,20.475,20.29041667,16.42416667,19.46291667,18.16958333,19.4,10.34,14.98,16.16,14.15,12.13,17.76,17.56,12.44,16.44,16.95,23.61,21.35,18.68,30.3,24.06,17.94,22.92,24.46,19.99,23.69,19.9,5-Mar,3.38,26.78
20.65458333,17.83958333,16.69416667,24.47125,15.84041667,16.27833333,20.86333333,20.3575,18.79166667,14.2475,16.25208333,18.24,10.43,14.64,17.02,12.75,13.91,17.1,15.94,12.65,11.72,15.22,23.31,25.25,19.35,30.98,20.12,18.73,26.97,26.34,25.67,16.41,17.27,6-Mar,3.38,26.78
19.515,20.66666667,16.45291667,25.775,16.94333333,17.33291667,21.64541667,19.68791667,20.36708333,15.40125,16.53875,17.76,14.17,13.3,20.3,12.05,14.24,18.24,14.35,12.53,10.03,14.48,23.76,27.14,20.03,31.75,20.97,20.88,25.98,26.48,27.7,21.05,19,7-Mar,3.38,26.78
18.51416667,21.98083333,17.15791667,25.25458333,21.14625,18.33416667,27.025,20.60916667,20.90833333,19.05458333,16.30833333,16.9,19.32,14.78,19.63,16.37,14.9,19.28,12.9,12.77,13.99,13.04,20.88,24.87,20.12,31.26,26.83,23.27,36.06,28.02,27.99,25.11,20.36,8-Mar,3.38,26.78
16.48041667,20.04916667,18.3775,27.44958333,23.22375,17.5175,25.00666667,22.03625,20.9575,19.81416667,15.505,14.04,18.16,15.79,21.84,15.43,13.54,18.98,13.19,12.75,14.75,11.13,17.72,22.75,22.12,33.12,30.61,22.43,28.01,29.45,28.3,25.09,20.76,9-Mar,3.38,26.78
14.86916667,16.84291667,15.81583333,25.80791667,23.93875,16.84375,19.26666667,20.20958333,23.32083333,18.4975,16.13125,13.23,15.3,12.19,20.88,19.03,13.4,17.95,15.66,13.15,13.87,10.48,17.13,18.21,17.98,31.13,30.31,21.3,20.81,25.33,32.29,24.09,21.99,10-Mar,3.38,26.78
15.64958333,19.54291667,15.07458333,26.80208333,22.69708333,16.67958333,21.98375,19.84958333,19.56375,18.35416667,19.73625,12.24,15.64,11.38,19.52,17.91,10.76,19.61,16.22,15.39,15.96,12.61,19.91,24.03,18.75,34.18,29.64,23.43,26.1,25.55,23.17,21.46,27,11-Mar,3.38,26.78
17.025,22.06083333,16.68,28.1025,17.16,15.62333333,20.12291667,21.66166667,17.0175,15.56041667,22.15875,11.06,15.82,12.17,21.5,13.75,13.27,18.45,17.83,15.14,12.72,17.05,22.97,27.95,21.83,34.01,19.44,18.2,22.57,28.62,19.66,17.46,27.63,12-Mar,3.38,26.78
18.18625,21.36791667,19.62791667,23.15458333,16.08166667,15.87666667,19.66166667,21.04625,17.34083333,14.37208333,19.24166667,11,16.27,11.84,16.44,10.5,11.52,17.56,16.13,14.8,10.75,13.43,24.25,28.37,27.3,27.26,21.73,19.85,23.21,26.35,20.74,18.05,24.91,13-Mar,3.38,26.78
19.0175,16.70083333,23.12291667,18.14208333,18.86916667,17.17375,17.75541667,22.9975,16.99958333,15.77,13.86541667,12.17,13.86,17.08,15.93,12.55,8.59,15.25,16.49,13.83,10.51,12.32,25.57,20.19,29.41,20.87,26.23,27.56,19.09,29.58,21.35,21.45,16.19,14-Mar,3.38,26.78
20.58791667,17.03458333,23.91375,18.21583333,20.835,15.50416667,19.38583333,26.11916667,16.62583333,16.63375,14.35125,13.73,11.43,21.83,14.69,14.88,13.47,14.95,20.52,13.69,11.09,10.69,27.03,23.59,26.83,22.21,27.48,18.79,24.7,31.68,20.5,22.64,18.11,15-Mar,3.38,26.78
23.0925,15.77333333,19.03125,15.61875,15.24458333,17.32666667,21.65625,21.47125,17.86,19.21875,16.29166667,17.39,12.8,15.53,13.64,12.74,9.82,15.38,16.41,10.86,12.05,9.61,29.11,18.5,21.99,18.46,18.27,23.61,28.28,25.11,24.62,26.61,23.62,16-Mar,3.38,26.78
22.9975,14.47583333,15.92833333,14.33583333,18.21916667,21.35958333,24.94125,18.32833333,25.45583333,20.51791667,19.6075,19.28,11.98,12.41,12.32,14.51,17.63,19.53,14.46,19.25,14.8,12.07,29.29,17.27,19,16.03,22.51,24.96,30.26,23.13,31.13,26.35,26.16,17-Mar,3.38,26.78
23.50625,14.7075,16.78333333,15.2875,17.75625,19.965,17.23083333,20.10291667,21.50083333,20.27791667,22.50833333,18.87,12.78,12.46,12.04,13.64,16.52,12.67,12.41,14.64,15.88,19.38,28.5,17.11,20.98,18.78,22.77,23.25,24.79,27.93,27.47,25.4,26.57,18-Mar,3.38,26.78
22.48,16.30875,18.42291667,16.33083333,16.18625,21.67583333,14.2575,22.82916667,18.39833333,20.36458333,23.64041667,18.14,11.24,11.54,11.16,11.89,16.6,12.4,14.32,13.31,17.73,18.19,26.24,22.11,25.03,21.68,20.93,30.75,16.42,30.58,24.61,24.27,28.96,19-Mar,3.38,26.78
19.36125,20.08791667,21.37958333,19.81916667,18.84125,15.435,15.55083333,22.045,15.90416667,21.01375,17.29333333,16.28,13.87,16.46,11.1,9.88,12.18,10.1,19.46,14.14,18.91,14.75,23.77,26.56,25.99,26.75,27.79,18.79,20.98,25.25,18.08,24.5,20.98,20-Mar,3.38,26.78
17.73666667,20.33458333,17.90666667,20.5425,18.26208333,15.29791667,16.16916667,21.08875,17.35125,20.97291667,14.98541667,14.92,17.23,12.81,17.94,14.46,10.29,10.93,19.71,12.97,18.66,13.32,20.52,24.04,23.27,22.14,23.33,21.37,21.65,23.19,22.77,24.47,16.91,21-Mar,3.38,26.78
15.60833333,19.67583333,14.78125,17.32625,14.75375,18.50958333,16.92291667,18.565,18.59833333,22.02416667,14.36958333,12.65,17.73,10.67,15.21,12.91,9.57,11.01,16.47,11.59,18.72,12.15,18.88,21.95,18.27,19.24,16.85,27.23,23.16,20.31,25.49,27.57,17.54,22-Mar,3.38,26.78
16.24,17.29291667,13.06666667,18.29875,14.06416667,20.5025,18.85375,18.80375,21.44333333,22.18375,14.09,12.34,14.77,11.35,14.2,11.96,15.09,13.07,15.72,15.81,18.17,11.66,19.71,20.89,14.86,22.54,16.82,25.2,26.04,23.31,27.75,28.74,17.09,23-Mar,3.38,26.78
17.82,16.03458333,13.90125,19.585,14.425,13.98,17.77875,18.4375,20.35291667,22.11,13.28416667,14.75,14.93,11.48,16.5,10.78,12.8,15.23,13.32,17.76,16,9.41,20.66,17.89,16.86,23.75,18.81,14.89,20.08,23.81,22.25,27.57,17.61,24-Mar,3.38,26.78
20.01583333,14.9075,14.14708333,17.98958333,17.72458333,15.57708333,16.42416667,21.5675,19.65,16.50958333,14.14166667,12.37,14.27,12.11,14.38,12.69,12.27,14.32,17.33,11.14,12.48,11.99,27.88,15.97,16.62,21.98,23.71,20.33,19.32,26.48,22.59,21.71,16.4,25-Mar,3.38,26.78
20.31958333,15.18666667,13.90458333,21.87458333,19.36875,13.6125,16.26625,20.90208333,13.34833333,14.82291667,15.53291667,17.41,13.61,9.72,15,14.94,9.95,13.53,18.01,10.43,11.79,12.23,25.5,16.98,17.76,28.74,24.59,17.31,19.53,25.16,16.8,18.65,20.09,26-Mar,3.38,26.78
17.88208333,15.03833333,15.075,26.09375,19.45583333,14.12208333,15.3025,21.50916667,15.79208333,15.52291667,18.01875,16.13,12.23,11.54,19.44,17.07,12.24,13.03,13.94,10.21,11.22,12.12,21.27,18.1,19.11,33.16,22.66,16.33,17.84,29.97,20.99,20.6,25.33,27-Mar,3.38,26.78
20.76,16.17416667,16.23041667,16.02666667,17.98541667,14.08333333,14.81041667,16.47708333,20.75041667,18.93291667,20.20708333,16.83,12.37,13.15,11.95,14.07,11.43,11.75,11.84,16.13,11.36,14.12,25.14,21.27,20.68,18.99,21.16,17.46,17.97,21.65,27.53,26.37,26.31,28-Mar,3.38,26.78
