dewpoint_temperature_trend,dewpoint_temperature_seasonal,dewpoint_temperature_trendseasonal,dewpoint_temperature_observed,temperature_trend,temperature_seasonal,temperature_trendseasonal,temperature_observed,wind_speed_trend,wind_speed_seasonal,wind_speed_trendseasonal,wind_speed_observed,mean_sea_level_pressure_trend,mean_sea_level_pressure_seasonal,mean_sea_level_pressure_trendseasonal,mean_sea_level_pressure_observed,relative_humidity_trend,relative_humidity_seasonal,relative_humidity_trendseasonal,relative_humidity_observed,surface_solar_radiation_trend,surface_solar_radiation_seasonal,surface_solar_radiation_trendseasonal,surface_solar_radiation_observed,surface_thermal_radiation_trend,surface_thermal_radiation_seasonal,surface_thermal_radiation_trendseasonal,surface_thermal_radiation_observed,total_cloud_cover_trend,total_cloud_cover_seasonal,total_cloud_cover_trendseasonal,total_cloud_cover_observed,date
9.840361032,2.503720552,12.34408158,15.09958333,14.25953606,4.967670511,19.22720657,17.69916667,3.586333179,-0.623938399,2.96239478,3.339166667,101597.9686,-470.2936472,101127.675,100908.6517,0.76434948,-0.076001693,0.688347787,0.850416667,172.1622759,116.8946138,289.0568897,137.1804167,326.6248248,23.37080711,349.9956319,395.54125,0.601350847,0.01958673,0.620937577,0.950833333,1/1/2010
9.840078944,2.279985855,12.1200648,8.9525,14.25949779,4.083552669,18.34305046,15.91541667,3.586650862,0.002938487,3.589589349,5.697916667,101598.0387,-342.6956573,101255.343,101575.0833,0.764334367,-0.070827761,0.693506606,0.634583333,172.1734982,116.8975996,289.0710978,204.4458333,326.6200709,19.30653626,345.9266072,357.8345833,0.601323719,0.024885938,0.626209657,0.975,1/2/2010
9.839796855,2.092741359,11.93253821,8.849583333,14.25945953,4.350975256,18.61043478,15.22583333,3.586968546,0.112240695,3.699209241,3.612083333,101598.1089,-234.3255082,101363.7834,101927.8254,0.764319254,-0.081617965,0.682701289,0.66625,172.1847204,122.2545407,294.4392611,281.0766667,326.615317,15.97983704,342.595154,317.4691667,0.601296592,-0.103850814,0.497445778,0.58875,1/3/2010
9.839514767,2.56382858,12.40334335,12.03625,14.25942126,4.627679331,18.88710059,18.77166667,3.58728623,0.129562881,3.716849111,2.053333333,101598.179,-254.0655803,101344.1134,101473.0171,0.764304141,-0.075722572,0.688581569,0.678333333,172.1959426,130.9599108,303.1558534,382.7016667,326.6105631,18.49487517,345.1054383,318.1783333,0.601269464,-0.024991009,0.576278455,0.153333333,1/4/2010
9.839232679,2.370658095,12.20989077,12.31958333,14.25938299,4.695473303,18.9548563,17.94083333,3.587603913,-0.280180192,3.307423721,3.651666667,101598.2491,-304.9239652,101293.3251,101655.2083,0.764289029,-0.079114469,0.68517456,0.707916667,172.2071649,137.6686859,309.8758508,356.4033333,326.6058091,10.53705923,337.1428683,325.1125,0.601242336,-0.181136817,0.420105519,0.388333333,1/5/2010
9.838950591,2.957136393,12.79608698,9.49125,14.25934473,4.711570643,18.97091537,16.43791667,3.587921597,0.11038914,3.698310737,3.577083333,101598.3193,-229.43504,101368.8843,101861.2354,0.764273916,-0.063561351,0.700712565,0.652916667,172.2183871,145.0206343,317.2390214,322.9825,326.6010552,17.09741366,343.6984689,303.9266667,0.601215208,-0.03626046,0.564954748,0.24,1/6/2010
9.838668503,3.56879477,13.40746327,11.13333333,14.25930646,5.028016632,19.28732309,18.32416667,3.588239281,0.258221505,3.846460786,2.664583333,101598.3894,-99.6737356,101498.7157,101717.9917,0.764258803,-0.051413675,0.712845128,0.652916667,172.2296093,81.7833758,254.0129851,382.0404167,326.5963013,24.50642887,351.1027302,309.2766667,0.60118808,-0.123605564,0.477582516,0.010416667,1/7/2010
9.838386414,3.795840895,13.63422731,12.01208333,14.2592682,6.323862735,20.58313093,26.71666667,3.588556964,0.001044642,3.589601606,3.071666667,101598.4595,-188.8330183,101409.6265,101359.4825,0.76424369,-0.079194081,0.685049609,0.430416667,172.2408316,111.4954692,283.7363008,353.1825,326.5915474,30.18453045,356.7760779,356.7608333,0.601160952,-0.035166707,0.565994245,0.815833333,1/8/2010
9.838104326,3.597277716,13.43538204,12.84708333,14.25922993,5.091137967,19.3503679,22.07708333,3.588874648,0.243242969,3.832117617,3.517916667,101598.5297,-222.4545559,101376.0751,101621.56,0.764228577,-0.047738565,0.716490012,0.61875,172.2520538,94.36634748,266.6184013,377.9379167,326.5867935,32.9443571,359.5311506,330.62375,0.601133825,0.12805126,0.729185085,0.02125,1/9/2010
9.837822238,3.611612653,13.44943489,15.24375,14.25919166,4.419676517,18.67886818,23.79375,3.589192332,-0.198730031,3.390462301,2.432916667,101598.5998,-232.6617186,101365.9381,101363.0504,0.764213464,-0.033321197,0.730892267,0.620833333,172.2632761,91.64474489,263.908021,375.46125,326.5820396,25.15372267,351.7357623,340.8370833,0.601106697,-0.055139354,0.545967343,0.135416667,1/10/2010
9.83754015,3.226687031,13.06422718,12.13583333,14.2591534,6.450948324,20.71010172,33.62,3.589510016,-0.277402043,3.312107973,5.11,101598.6699,-327.9761879,101270.6937,100438.9371,0.764198351,-0.109147646,0.655050705,0.278333333,172.2744983,116.9926377,289.267136,318.58,326.5772856,30.47536696,357.0526526,403.5679167,0.601079569,0.016313487,0.617393056,0.6025,1/11/2010
9.837258061,4.054486961,13.89174502,13.49041667,14.25911513,5.270227837,19.52934297,20.50583333,3.589827699,0.025012894,3.614840593,4.57375,101598.7401,-275.6822065,101323.0579,101078.1658,0.764183239,-0.037609273,0.726573966,0.662083333,172.2857205,96.27374274,268.5594632,221.8895833,326.5725317,31.06449194,357.6370236,386.4120833,0.601052441,0.021277839,0.62233028,0.93125,1/12/2010
9.836975973,3.452876598,13.28985257,9.179166667,14.25907687,5.879875595,20.13895246,16.36833333,3.590145383,-0.141472378,3.448673005,4.394583333,101598.8102,-268.2869959,101330.5232,101881.705,0.764168126,-0.093545691,0.670622435,0.629166667,172.2969428,97.56442278,269.8613656,250.6483333,326.5677778,26.9556681,353.5234459,329.67,0.601025313,0.01637385,0.617399163,0.614583333,1/13/2010
9.836693885,3.437458587,13.27415247,9.755833333,14.2590386,5.610845842,19.86988444,17.17958333,3.590463067,0.155775702,3.746238769,4.090833333,101598.8803,-453.0946476,101145.7857,101848.2796,0.764153013,-0.071481157,0.692671856,0.631666667,172.308165,79.11819396,251.426359,376.9529167,326.5630239,27.94821479,354.5112387,303.1891667,0.600998186,-0.062190813,0.538807373,0.1475,1/14/2010
9.836411797,3.036042763,12.87245456,15.02166667,14.25900033,5.111384012,19.37038435,20.42791667,3.59078075,0.030509989,3.621290739,2.459166667,101598.9505,-309.0981516,101289.8523,101179.4054,0.7641379,-0.066704486,0.697433414,0.737916667,172.3193872,118.8184162,291.1378034,367.6216667,326.55827,18.57225054,345.1305205,337.31,0.600971058,-0.187779258,0.4131918,0.51875,1/15/2010
9.836129709,2.823006411,12.65913612,11.005,14.25896207,6.123401823,20.38236389,19.39041667,3.591098434,0.111230957,3.702329391,5.580833333,101599.0206,-237.02938,101361.9912,100874.1358,0.764122787,-0.121635957,0.64248683,0.61,172.3306095,129.1463201,301.4769296,358.52625,326.5535161,21.93705675,348.4905729,331.90875,0.60094393,-0.137474153,0.463469777,0.430416667,1/16/2010
9.83584762,2.602571847,12.43841947,7.892083333,14.2589238,5.688450077,19.94737388,13.98291667,3.591416118,0.204345,3.795761118,7.316666667,101599.0907,-343.4127073,101255.678,100920.7188,0.764107674,-0.107236568,0.656871106,0.690833333,172.3418317,117.4390247,289.7808564,283.3583333,326.5487622,23.30909583,349.857858,319.0654167,0.600916802,-0.064521026,0.536395776,0.569583333,1/17/2010
9.835565532,1.529151171,11.3647167,8.768333333,14.25888553,5.703522112,19.96240765,14.11666667,3.591733802,0.323819583,3.915553385,6.123333333,101599.1608,-422.0874099,101177.0734,101250.2446,0.764092561,-0.137814253,0.626278308,0.702916667,172.353054,115.2884011,287.6414551,275.7354167,326.5440082,18.69969275,345.243701,328.1770833,0.600889674,-0.089890673,0.510999001,0.686666667,1/18/2010
