month-date,seasonal2010,trend2010,seasonal2011,trend2011,seasonal2013,trend2013,seasonal2014,trend2014,seasonal2015,trend2015,seasonal2017,trend2017,seasonal2018,trend2018,seasonal2019,trend2019,seasonal2012,trend2012,seasonal2016,trend2016,seasonal2020,trend2020,day
1-Jan,-0.076001693,0.76434948,-0.076001693,0.763425799,-0.070827761,0.715803653,-0.070827761,0.724818493,-0.070827761,0.733442922,-0.081617965,0.732178082,-0.081617965,0.714462329,-0.081617965,0.70235274,-0.076001693,0.738218037,-0.070827761,0.718960046,-0.081617965,0.737561644,1
2-Jan,-0.070827761,0.764334367,-0.070827761,0.763238584,-0.081617965,0.715230594,-0.081617965,0.72513242,-0.081617965,0.73315411,-0.075722572,0.732299087,-0.075722572,0.714130137,-0.075722572,0.703001142,-0.070827761,0.738355023,-0.081617965,0.719238584,-0.075722572,0.737043379,2
3-Jan,-0.081617965,0.764319254,-0.081617965,0.762674658,-0.075722572,0.71456621,-0.075722572,0.725472603,-0.075722572,0.733140411,-0.079114469,0.732303653,-0.079114469,0.713678082,-0.079114469,0.703742009,-0.081617965,0.738922374,-0.075722572,0.719203196,-0.079114469,0.736976027,3
4-Jan,-0.075722572,0.764304141,-0.075722572,0.762487443,-0.079114469,0.713898402,-0.079114469,0.725968037,-0.079114469,0.732671233,-0.063561351,0.732033105,-0.063561351,0.713192922,-0.063561351,0.704334475,-0.075722572,0.739221461,-0.079114469,0.719541096,-0.063561351,0.737139269,4
5-Jan,-0.079114469,0.764289029,-0.079114469,0.762510274,-0.063561351,0.713736301,-0.063561351,0.726221461,-0.063561351,0.732453196,-0.051413675,0.731787671,-0.051413675,0.712812785,-0.051413675,0.704706621,-0.079114469,0.739547945,-0.063561351,0.719770548,-0.051413675,0.737476027,5
6-Jan,-0.063561351,0.764273916,-0.063561351,0.762060502,-0.051413675,0.7138379,-0.051413675,0.726022831,-0.051413675,0.73275,-0.079194081,0.731422374,-0.079194081,0.712810502,-0.079194081,0.704855023,-0.063561351,0.739909817,-0.051413675,0.719740868,-0.079194081,0.737692922,6
7-Jan,-0.051413675,0.764258803,-0.051413675,0.761797945,-0.079194081,0.71425,-0.079194081,0.725513699,-0.079194081,0.733149543,-0.047738565,0.731150685,-0.047738565,0.712924658,-0.047738565,0.704727169,-0.051413675,0.739965753,-0.079194081,0.720057078,-0.047738565,0.738038813,7
8-Jan,-0.079194081,0.76424369,-0.079194081,0.761615297,-0.047738565,0.714606164,-0.047738565,0.725442922,-0.047738565,0.732909817,-0.033321197,0.730768265,-0.033321197,0.713142694,-0.033321197,0.704664384,-0.079194081,0.739965753,-0.047738565,0.720476027,-0.033321197,0.738269406,8
9-Jan,-0.047738565,0.764228577,-0.047738565,0.76164726,-0.033321197,0.714559361,-0.033321197,0.725479452,-0.033321197,0.732660959,-0.109147646,0.730851598,-0.109147646,0.712966895,-0.109147646,0.704517123,-0.047738565,0.739844749,-0.033321197,0.720876712,-0.109147646,0.738624429,9
10-Jan,-0.033321197,0.764213464,-0.033321197,0.761553653,-0.109147646,0.714673516,-0.109147646,0.725469178,-0.109147646,0.732828767,-0.037609273,0.731385845,-0.037609273,0.712729452,-0.037609273,0.704425799,-0.033321197,0.740103881,-0.109147646,0.720684932,-0.037609273,0.738901826,10
11-Jan,-0.109147646,0.764198351,-0.109147646,0.761649543,-0.037609273,0.714399543,-0.037609273,0.725489726,-0.037609273,0.733067352,-0.093545691,0.731574201,-0.093545691,0.713054795,-0.093545691,0.704011416,-0.109147646,0.74013242,-0.037609273,0.720085616,-0.093545691,0.739465753,11
12-Jan,-0.037609273,0.764183239,-0.037609273,0.761890411,-0.093545691,0.714281963,-0.093545691,0.72555137,-0.093545691,0.732923516,-0.071481157,0.731339041,-0.071481157,0.713589041,-0.071481157,0.703849315,-0.037609273,0.740297945,-0.093545691,0.719768265,-0.071481157,0.739734018,12
13-Jan,-0.093545691,0.764168126,-0.093545691,0.762059361,-0.071481157,0.714425799,-0.071481157,0.725429224,-0.071481157,0.733049087,-0.066704486,0.731323059,-0.066704486,0.713478311,-0.066704486,0.704158676,-0.093545691,0.740372146,-0.071481157,0.719539954,-0.066704486,0.739836758,13
14-Jan,-0.071481157,0.764153013,-0.071481157,0.762123288,-0.066704486,0.714590183,-0.066704486,0.725310502,-0.066704486,0.73313242,-0.121635957,0.731302511,-0.121635957,0.713021689,-0.121635957,0.704815068,-0.071481157,0.740195205,-0.066704486,0.719318493,-0.121635957,0.7398379,14
15-Jan,-0.066704486,0.7641379,-0.066704486,0.761908676,-0.121635957,0.714737443,-0.121635957,0.725071918,-0.121635957,0.733356164,-0.107236568,0.730752283,-0.107236568,0.713061644,-0.107236568,0.705323059,-0.066704486,0.74038242,-0.121635957,0.719224886,-0.107236568,0.739931507,15
16-Jan,-0.121635957,0.764122787,-0.121635957,0.762295662,-0.107236568,0.715126712,-0.107236568,0.724893836,-0.107236568,0.733486301,-0.137814253,0.730747717,-0.137814253,0.713021689,-0.137814253,0.705659817,-0.121635957,0.740189498,-0.107236568,0.71934589,-0.137814253,0.740138128,16
17-Jan,-0.107236568,0.764107674,-0.107236568,0.762431507,-0.137814253,0.715125571,-0.137814253,0.72491895,-0.137814253,0.733526256,-0.086701014,0.730792237,-0.086701014,0.712401826,-0.086701014,0.706118721,-0.107236568,0.739609589,-0.137814253,0.719182648,-0.086701014,0.740369863,17
18-Jan,-0.137814253,0.764092561,-0.137814253,0.76253653,-0.086701014,0.715333333,-0.086701014,0.725045662,-0.086701014,0.73347032,-0.097005582,0.730638128,-0.097005582,0.712236301,-0.097005582,0.706180365,-0.137814253,0.739356164,-0.086701014,0.719124429,-0.097005582,0.740221461,18
19-Jan,-0.086701014,0.764077449,-0.086701014,0.76231621,-0.097005582,0.715139269,-0.097005582,0.725267123,-0.097005582,0.732856164,-0.045297118,0.730480594,-0.045297118,0.712138128,-0.045297118,0.70576484,-0.086701014,0.739200913,-0.097005582,0.719598174,-0.045297118,0.74046347,19
20-Jan,-0.097005582,0.764062336,-0.097005582,0.762200913,-0.045297118,0.714914384,-0.045297118,0.725553653,-0.045297118,0.732204338,-0.035371093,0.730308219,-0.035371093,0.712019406,-0.035371093,0.705783105,-0.097005582,0.739309361,-0.045297118,0.720260274,-0.035371093,0.740817352,20
21-Jan,-0.045297118,0.764047223,-0.045297118,0.761956621,-0.035371093,0.7145879,-0.035371093,0.72585274,-0.035371093,0.732053653,-0.045065407,0.729857306,-0.045065407,0.712038813,-0.045065407,0.705864155,-0.045297118,0.739394977,-0.035371093,0.720202055,-0.045065407,0.741512557,21
22-Jan,-0.035371093,0.76403211,-0.035371093,0.762053653,-0.045065407,0.714416667,-0.045065407,0.726046804,-0.045065407,0.731969178,-0.078215485,0.730076484,-0.078215485,0.711569635,-0.078215485,0.706058219,-0.035371093,0.739493151,-0.045065407,0.720062785,-0.078215485,0.741812785,22
23-Jan,-0.045065407,0.764016997,-0.045065407,0.76206621,-0.078215485,0.714607306,-0.078215485,0.725958904,-0.078215485,0.732030822,-0.064687101,0.730119863,-0.064687101,0.711544521,-0.064687101,0.70605137,-0.045065407,0.73940411,-0.078215485,0.719938356,-0.064687101,0.741842466,23
24-Jan,-0.078215485,0.764001884,-0.078215485,0.76201484,-0.064687101,0.714680365,-0.064687101,0.726012557,-0.064687101,0.731699772,-0.081997283,0.730199772,-0.081997283,0.71172032,-0.081997283,0.706027397,-0.078215485,0.739041096,-0.064687101,0.720158676,-0.081997283,0.741934932,24
25-Jan,-0.064687101,0.763986772,-0.064687101,0.762038813,-0.081997283,0.714589041,-0.081997283,0.726248858,-0.081997283,0.731263699,-0.093006094,0.730509132,-0.093006094,0.711510274,-0.093006094,0.706365297,-0.064687101,0.738688356,-0.081997283,0.720108447,-0.093006094,0.741832192,25
26-Jan,-0.081997283,0.763971659,-0.081997283,0.761585616,-0.093006094,0.713885845,-0.093006094,0.726552511,-0.093006094,0.731452055,-0.050347192,0.730568493,-0.050347192,0.711389269,-0.050347192,0.706673516,-0.081997283,0.738949772,-0.093006094,0.719956621,-0.050347192,0.741993151,26
27-Jan,-0.093006094,0.763956546,-0.093006094,0.760998858,-0.050347192,0.713530822,-0.050347192,0.726469178,-0.050347192,0.731818493,-0.060535893,0.730414384,-0.060535893,0.711479452,-0.060535893,0.706836758,-0.093006094,0.739573059,-0.050347192,0.719744292,-0.060535893,0.742159817,27
28-Jan,-0.050347192,0.763941433,-0.050347192,0.760262557,-0.060535893,0.713333333,-0.060535893,0.726487443,-0.060535893,0.731638128,-0.084497616,0.729659817,-0.084497616,0.711781963,-0.084497616,0.707107306,-0.050347192,0.740348174,-0.060535893,0.719844749,-0.084497616,0.742368721,28
29-Jan,-0.060535893,0.76392632,-0.060535893,0.760037671,-0.084497616,0.713324201,-0.084497616,0.726188356,-0.084497616,0.731881279,-0.070452298,0.729526256,-0.070452298,0.711528539,-0.070452298,0.707515982,-0.060535893,0.740732877,-0.084497616,0.720097032,-0.070452298,0.742477169,29
30-Jan,-0.084497616,0.763911207,-0.084497616,0.760093607,-0.070452298,0.713190639,-0.070452298,0.725942922,-0.070452298,0.731836758,-0.056989839,0.729718037,-0.056989839,0.711219178,-0.056989839,0.707820776,-0.084497616,0.740905251,-0.070452298,0.720473744,-0.056989839,0.742474886,30
31-Jan,-0.070452298,0.763896094,-0.070452298,0.759769406,-0.056989839,0.712570776,-0.056989839,0.72641895,-0.056989839,0.731611872,-0.083127265,0.729793379,-0.083127265,0.71102968,-0.083127265,0.708001142,-0.070452298,0.7413379,-0.056989839,0.720542237,-0.083127265,0.742119863,31
1-Feb,-0.056989839,0.763880982,-0.056989839,0.759323059,-0.083127265,0.712607306,-0.083127265,0.726676941,-0.083127265,0.731392694,-0.060635601,0.729941781,-0.060635601,0.710163242,-0.060635601,0.708608447,-0.056989839,0.742002283,-0.083127265,0.720812785,-0.060635601,0.741987443,32
2-Feb,-0.083127265,0.763865869,-0.083127265,0.758613014,-0.060635601,0.712799087,-0.060635601,0.726477169,-0.060635601,0.731474886,-0.046662107,0.730045662,-0.046662107,0.709663242,-0.046662107,0.709010274,-0.083127265,0.742539954,-0.060635601,0.721027397,-0.046662107,0.74171347,33
