yr2010avg,yr2011avg,yr2012avg,yr2013avg,yr2014avg,yr2015avg,yr2016avg,yr2017avg,yr2018avg,yr2019avg,yr2020avg,yr2010min,yr2011min,yr2012min,yr2013min,yr2014min,yr2015min,yr2016min,yr2017min,yr2018min,yr2019min,yr2020min,yr2010max,yr2011max,yr2012max,yr2013max,yr2014max,yr2015max,yr2016max,yr2017max,yr2018max,yr2019max,yr2020max,monthdate,outliermin,outliermax
11.15541667,10.97166667,9.195416667,17.34375,12.9025,8.48875,12.02708333,9.245416667,10.10416667,12.475,9.56875,8.92,8.12,4.47,13.55,9.42,2.51,10.11,2.83,6.21,9.99,4.25,12.54,15.29,13.04,21.45,15.57,13.71,14.3,15.3,11.95,17.65,14.27,1-Sep,1.71,26.03
9.625416667,11.62,10.45208333,15.11041667,10.31291667,11.84708333,11.27333333,13.01958333,8.033333333,12.2425,14.785,7.57,6.03,3.98,11.45,8.41,8.41,9.33,9.34,5.31,8.12,10.66,11.95,19.14,16.99,18.8,12.93,16.49,13.87,15.74,11.29,15.9,19.33,2-Sep,1.71,26.03
10.2325,15.24208333,13.14541667,14.6,9.910416667,10.87791667,11.34416667,13.87,8.410416667,13.29625,13.9325,4.82,10.95,7.56,9.61,6.24,8.24,10.24,10.9,4.61,9.6,11.45,15.34,19.52,18.41,21.09,13.22,12.94,13.37,16.1,12.95,18.39,17.69,3-Sep,1.71,26.03
14.59166667,15.68875,16.395,18.36208333,8.965833333,9.767916667,12.1925,8.75375,9.46,11.63666667,11.57375,12.69,10.05,12.3,13.28,4.86,7.53,9.14,6.47,2.28,7.01,7.72,17.32,18.42,21.13,22.34,13.92,12.08,14.83,10.59,17.2,16.94,14.95,4-Sep,1.71,26.03
11.49541667,12.76166667,15.56291667,16.33041667,9.210833333,9.785,13.26625,7.543333333,12.75,12.30125,11.14666667,9.1,6.41,13.74,12.37,4.07,6.95,10.7,5.54,7.36,6.54,7.15,13.6,19.04,18.48,20.51,15.01,12.9,15.95,10.55,17.81,17.62,14.4,5-Sep,1.71,26.03
9.32625,12.14416667,13.83125,12.44541667,10.1775,9.82375,12.94125,9.6,14.24416667,10.85,11.525,7.53,8.16,8.9,10.39,5.78,4.43,8.4,6.43,10.38,9.43,5.59,11.44,14.72,16.7,14.56,16.33,14.84,18.2,12.72,17.64,13.02,17.53,6-Sep,1.71,26.03
9.589166667,9.189166667,10.3375,11.93291667,11.76458333,9.6075,13.71541667,10.51541667,10.02125,9.539166667,16.0425,6.77,6.4,8.58,9.52,5.04,8.55,8.48,7.94,7.16,8.09,10.7,13.2,12.81,12.92,16.04,18.88,11.16,18.92,13.76,13.35,11.02,20.96,7-Sep,1.71,26.03
10.06666667,8.78125,11.15375,10.88375,15.34958333,9.753333333,17.08833333,8.92625,9.935416667,9.520833333,16.02875,3.74,4.14,9.59,7.01,9.57,8.56,13.69,7,3.94,7.67,10.35,15.44,12.98,13.58,14.35,19.89,11.4,20.62,11.15,15.09,13.02,19.11,8-Sep,1.71,26.03
13.5025,8.78,11.48583333,16.80916667,15.70833333,10.92375,15.11333333,9.680416667,12.79666667,9.269166667,10.60708333,11.73,6.78,7.99,11.43,11.18,9.31,12.08,7.48,10.38,7.24,8.1,16.03,11.16,15.58,20.86,18.09,12.86,17.85,12.85,15.91,11.5,13.94,9-Sep,1.71,26.03
10.67625,10.71625,10.62958333,12.73166667,13.2275,10.775,11.65541667,9.794166667,12.83916667,10.06958333,11.90541667,8.05,8.77,6.19,10.89,9.85,6.61,9.33,5.78,10.31,7.51,5.39,12.2,13.03,15.63,15.85,16.6,13.84,12.76,14,15.99,13.06,19.25,10-Sep,1.71,26.03
11.42833333,9.935833333,12.16541667,11.38958333,11.88708333,11.51458333,11.43,13.2025,15.99125,11.92041667,14.45583333,8.14,8.24,6.22,8.66,7.86,4.65,7.79,8.8,9.42,5.1,10.4,15.39,12.34,18.01,13.91,13.82,17.89,14.88,16.71,21.74,18.53,17.88,11-Sep,1.71,26.03
12.2275,10.09625,14.33333333,9.107916667,9.738333333,15.30458333,10.59666667,13.82,12.77416667,13.28458333,13.77458333,9.62,7.65,10.16,5.83,6.35,11.67,9.52,11.61,8.6,10.43,12.41,15.04,12.71,19.45,12.03,13.47,19.81,12.07,16.6,16.4,17.23,14.6,12-Sep,1.71,26.03
10.78375,12.66333333,9.679166667,8.704166667,10.42708333,17.46583333,11.38208333,11.21416667,11.99833333,11.64416667,12.75791667,7.9,9.45,7.1,2.85,5.19,12.84,9.52,6.99,6.66,7.29,10.68,12.8,17.25,11.53,13.9,15.91,23.25,13.69,13.22,17.57,15.8,15.23,13-Sep,1.71,26.03
9.405416667,12.13125,10.22333333,11.86291667,11.62708333,19.25416667,12.04333333,9.572083333,15.01125,12.64458333,12.06583333,5.75,7.53,6.52,8.63,6.73,15.19,9.5,5.72,9.45,8.22,8.77,13.22,15.11,13.59,15.33,16.92,24.28,14.26,12.95,20.4,16.76,14.79,14-Sep,1.71,26.03
10.17708333,10.14333333,10.83625,14.265,12.27708333,12.01875,10.82166667,12.02125,11.48333333,14.81708333,10.13,7.64,5.48,8.43,8.98,8.11,8.26,8.57,10.4,5.7,12.63,6.73,13.1,14.85,13.71,19.55,16.91,14.82,13.64,14.71,17.01,18.35,14.53,15-Sep,1.71,26.03
9.732083333,12.825,10.76083333,13.47041667,11.5775,10.00541667,11.1675,9.802083333,8.525833333,9.78875,13.52125,8.23,8.3,6.79,12.16,9.13,6.91,8.35,7.39,5.19,6.72,6.32,11.85,18.52,14.35,15.43,13.5,13.32,14.17,11.99,12.44,11.94,20.04,16-Sep,1.71,26.03
10.42583333,14.645,11.85458333,13.81791667,10.00583333,10.4625,13.6725,10.45875,11.23416667,8.593333333,12.25583333,8.46,6.49,9.7,11.8,7.88,7.91,9.78,4.45,5.78,4.26,10.99,12.55,22.56,14.34,16.76,12.99,12.88,17.8,16.21,16.54,12.82,13.69,17-Sep,1.71,26.03
