yr2016avg,yr2017avg,yr2018avg,yr2019avg,yr2020avg,yr2016min,yr2017min,yr2018min,yr2019min,yr2020min,yr2016max,yr2017max,yr2018max,yr2019max,yr2020max,monthdate,outliermax,outliermin
16.58833333,20.2775,20.39583333,12.28,19.73166667,11.87,15.74,9,10.77,13.74,21.91,23.9,28.8,14.35,24.95,1-Dec,32.42,5.49
15.21666667,15.35583333,15.79833333,11.16291667,14.07375,11.18,14.01,13.04,9.3,10.92,19.48,16.54,21.76,13.28,17.2,2-Dec,32.42,5.49
15.27416667,14.08833333,16.30458333,14.98041667,15.11708333,8.26,12.82,12.65,10.72,8.95,21.26,15.44,20.79,19.14,21.78,3-Dec,32.42,5.49
20.26666667,14.31,15.61125,15.31666667,15.50583333,11.05,12.21,13.06,11.78,9.97,28.82,16.52,18.45,20.13,20.6,4-Dec,32.42,5.49
17.86625,16.13291667,17.93833333,15.74083333,18.23333333,13.42,11.63,11.4,11.31,12.28,21.47,20.72,23.8,20.74,25.11,5-Dec,32.42,5.49
14.85958333,16.85916667,23.93833333,14.71166667,15.34625,10.8,13.22,13.07,12.08,12.59,18.41,21.62,32.04,18.51,17.75,6-Dec,32.42,5.49
17.65333333,15.55458333,29.64125,14.315,13.28666667,9.37,11.25,25.22,10.99,10.77,25.39,20.81,35.29,18.55,15.12,7-Dec,32.42,5.49
17.94166667,14.485,21.76416667,17.19208333,13.40583333,11.97,10.98,16.07,12.07,10.35,21.44,17.52,25.36,23.23,15.94,8-Dec,32.42,5.49
12.94,16.86375,17.21041667,23.23541667,16.05791667,10.21,12.63,15.32,14.7,11.69,15.62,21.23,20.49,34.11,21.23,9-Dec,32.42,5.49
14.38083333,17.15583333,16.8975,14.53041667,14.5525,12.18,13.53,13.91,12.44,11.34,17.09,21.21,19.98,16.1,16.97,10-Dec,32.42,5.49
15.43291667,16.85791667,18.1175,14.62541667,15.63166667,12.13,13.96,11.89,12.08,8.77,19.3,20.45,23.41,17.98,21.34,11-Dec,32.42,5.49
20.38208333,17.99041667,23.27125,14.42666667,19.20416667,9.17,12.82,15.31,12.33,10.98,29.89,23.5,30.5,17.05,26.6,12-Dec,32.42,5.49
25.17083333,25.33166667,19.69791667,14.93375,21.94041667,18.91,13.92,17.62,11.24,16.19,32.03,34.17,22.32,18.34,27.69,13-Dec,32.42,5.49
15.85708333,20.04333333,18.04166667,15.73541667,24.50583333,11.88,14.91,16.59,13.73,16.88,20.08,22.7,19.36,18.18,31.36,14-Dec,32.42,5.49
14.42458333,18.01833333,20.05875,16.43916667,22.51791667,10.82,11.79,17.41,13.98,16.57,18.82,23.6,22.72,19.86,29.74,15-Dec,32.42,5.49
17.03375,18.25,18.72583333,16.5625,18.5525,9.69,13.57,16.12,12.35,14.69,23.81,22.91,21.43,20.63,23.69,16-Dec,32.42,5.49
15.7,19.62666667,17.73625,19.61833333,19.90041667,11.06,14.45,15.37,11.33,15.96,18.9,24.66,20.51,26.96,25.29,17-Dec,32.42,5.49
13.4775,23.04041667,17.77041667,25.55083333,15.16375,9.72,16.28,15.28,14.61,12.13,17.26,29.38,20.96,36.93,17.01,18-Dec,32.42,5.49
18.97291667,25.44291667,20.01791667,19.525,14.53916667,7.78,16.77,16.54,14.87,10.46,27.31,33.87,24.38,23.16,18.21,19-Dec,32.42,5.49
17.88041667,18.1275,17.97708333,27.34083333,14.68416667,14.44,14.93,15.49,12.88,8.92,21.74,21.23,20.83,39.6,19.1,20-Dec,32.42,5.49
