yr2010avg,yr2011avg,yr2012avg,yr2013avg,yr2014avg,yr2015avg,yr2016avg,yr2017avg,yr2018avg,yr2019avg,yr2020avg,yr2010min,yr2011min,yr2012min,yr2013min,yr2014min,yr2015min,yr2016min,yr2017min,yr2018min,yr2019min,yr2020min,yr2010max,yr2011max,yr2012max,yr2013max,yr2014max,yr2015max,yr2016max,yr2017max,yr2018max,yr2019max,yr2020max,monthdate,outliermin,outliermax
10.67208333,8.82375,8.925416667,13.96208333,13.45,7.913333333,8.776666667,10.45833333,8.59,12.28583333,10.33083333,6.89,4.23,4.8,12.22,12.31,5.92,4.43,8.17,5.72,11.16,9.53,15.22,16.39,15.01,15.03,15.27,10.46,14.76,12.95,13.59,13.91,11.25,1-Jun,8.21,11.86
11.21958333,11.47625,8.49875,12.24708333,12.57916667,8.779583333,8.65,10.61166667,8.772916667,10.6525,11.24541667,8.82,6.66,4.04,11.05,10.7,7.44,4.86,8.41,4.82,8.67,8.61,15.07,17.63,13.56,14.28,14.29,10.69,13.82,13.31,14.25,13.39,13.77,2-Jun,8.21,11.86
9.547916667,13.08708333,9.622083333,11.80666667,13.94125,7.89875,10.22833333,9.959166667,9.16375,9.375,11.31125,6.63,11.45,7.28,9.85,13.26,5.53,6.94,7.48,5.37,8.33,10.12,13.85,15.86,11.82,13.52,14.82,11.4,14.04,12.83,13.68,10.33,12.87,3-Jun,8.21,11.86
8.820416667,11.65958333,11.57541667,12.24333333,13.08416667,7.1225,12.43416667,8.227916667,9.813333333,9.215416667,9.899583333,6.57,8.42,10.51,10.32,10.68,4.25,10.85,4.71,6.38,7.5,5.89,12.01,14.37,13.18,14.37,16.09,10.07,13.87,12.97,13.63,11.66,12.82,4-Jun,8.21,11.86
9.263333333,10.55458333,10.91333333,12.13708333,11.89041667,9.60625,13.12541667,10.47833333,10.75083333,10.4125,7.690416667,5.86,7.49,9.41,11.21,9.15,7.01,11.47,6.88,8.43,8.97,3.14,12.12,14.93,11.47,13.59,13.82,12.66,14.85,14.7,14.62,12.01,12.58,5-Jun,8.21,11.86
10.45833333,8.445,9.666666667,13.69,10.66708333,11.72458333,10.73458333,10.60541667,9.667916667,11.71458333,9.354583333,7.96,5.71,8,11.82,7.84,9.29,8.85,9.11,4.59,10.13,7.27,12.67,11.45,12.04,16.08,13.91,14.91,12.99,12.68,16.92,13.99,11.72,6-Jun,8.21,11.86
9.313333333,7.771666667,10.37916667,11.36,12.14875,11.92708333,11.71916667,9.53625,13.49916667,10.27375,9.1825,7.29,5.72,8.8,6.63,10.71,10.86,9.38,6.62,9.19,6.33,6.74,12.16,9.1,12.45,13.68,14.62,13.37,13.53,13.41,15.9,14.11,11.52,7-Jun,8.21,11.86
9.89125,8.338333333,10.75625,8.810416667,10.96458333,13.71416667,12.10291667,8.2425,13.08208333,10.65166667,7.559583333,7.66,5.82,9.71,5.55,7.78,10.9,10.43,4.12,11.36,5.9,3.53,13.18,10.67,12.51,13.79,13.62,16.84,13.3,12.16,15.59,16.66,12.07,8-Jun,8.21,11.86
9.312916667,10.71541667,10.54916667,8.595416667,10.03041667,10.83916667,13.2225,10.72041667,11.16166667,12.73875,6.890416667,8.16,8.99,8.48,5.87,6.05,7.81,11.46,8.87,7.14,9.57,1.94,11.44,12.55,11.96,13.01,15.41,14.53,15.9,13.66,14.27,16.53,13.15,9-Jun,8.21,11.86
10.29416667,10.05541667,9.304583333,10.56708333,9.658333333,9.604166667,11.48791667,9.3575,8.857083333,14.4075,8.693333333,8.12,8.45,7.33,6.57,6.08,7.52,9.55,6.3,5.2,11.56,5.14,12.86,12.86,12,14.63,14.85,12.09,14.59,12.99,14.62,16.43,14.81,10-Jun,8.21,11.86
